Datetime,Date,Time,Temp,Light,Sound,CO2,CO2_Slope,PIR_S1,PIR_S2,Room_Occupancy_Count
2017-12-22 10:49:41,2017-12-22,10:49:41,80.595,218.0,0.34500000000000003,390,0.769230769231,0,0,1
2017-12-22 10:50:12,2017-12-22,10:50:12,80.61,217.0,1.055,390,0.646153846154,0,0,1
2017-12-22 10:50:42,2017-12-22,10:50:42,80.61,218.0,0.635,390,0.519230769231,0,0,1
2017-12-22 10:51:13,2017-12-22,10:51:13,80.67,218.0,0.6325,390,0.388461538462,0,0,1
2017-12-22 10:51:44,2017-12-22,10:51:44,80.67,219.0,0.315,390,0.253846153846,0,0,1
2017-12-22 10:52:14,2017-12-22,10:52:14,80.73,219.0,0.2675,390,0.165384615385,0,0,1
2017-12-22 10:53:15,2017-12-22,10:53:15,80.73,219.25,0.2525,390,-0.0115384615385,0,0,1
2017-12-22 10:53:46,2017-12-22,10:53:46,80.745,223.75,0.2325,390,-0.1,0,0,1
2017-12-22 10:57:51,2017-12-22,10:57:51,80.96,226.0,0.4025,395,-0.711538461538,0,0,1
2017-12-22 10:59:23,2017-12-22,10:59:23,80.945,227.25,0.265,395,-0.373076923077,0,0,1
2017-12-22 10:59:54,2017-12-22,10:59:54,81.015,227.0,0.245,390,-0.238461538462,0,0,1
2017-12-22 11:00:24,2017-12-22,11:00:24,80.96,226.0,0.275,395,-0.0923076923077,0,0,1
2017-12-22 11:00:55,2017-12-22,11:00:55,81.03,227.25,0.235,395,0.0615384615385,0,0,1
2017-12-22 11:01:26,2017-12-22,11:01:26,81.03,227.25,1.5275000000000003,400,0.319230769231,0,0,1
2017-12-22 11:01:56,2017-12-22,11:01:56,81.015,229.25,0.305,400,0.334615384615,0,0,1
2017-12-22 11:05:00,2017-12-22,11:05:00,81.15,227.0,0.525,405,0.807692307692,0,0,1
2017-12-22 11:05:31,2017-12-22,11:05:31,81.15,227.25,0.245,400,0.788461538462,0,0,1
2017-12-22 11:06:32,2017-12-22,11:06:32,81.15,227.0,0.7224999999999999,410,0.903846153846,0,0,1
2017-12-22 11:07:03,2017-12-22,11:07:03,81.1825,227.0,0.21500000000000002,405,0.892307692308,0,0,1
2017-12-22 11:07:33,2017-12-22,11:07:33,81.1675,226.0,1.075,410,0.915384615385,0,0,1
2017-12-22 11:08:04,2017-12-22,11:08:04,81.1675,226.0,0.385,410,0.923076923077,0,0,1
2017-12-22 11:08:35,2017-12-22,11:08:35,81.21000000000001,227.0,0.185,415,0.961538461538,0,0,1
2017-12-22 11:09:05,2017-12-22,11:09:05,81.15,227.0,0.195,420,1.02692307692,0,0,1
2017-12-22 11:09:36,2017-12-22,11:09:36,81.21000000000001,225.75,0.20500000000000002,425,1.11538461538,0,0,1
2017-12-22 11:10:06,2017-12-22,11:10:06,81.27,226.0,1.4725000000000001,425,1.17692307692,0,0,1
2017-12-22 11:10:37,2017-12-22,11:10:37,81.2275,228.25,0.5675,420,1.21538461538,0,0,1
2017-12-22 11:11:08,2017-12-22,11:11:08,81.2875,229.25,0.28500000000000003,420,1.23461538462,0,0,1
2017-12-22 11:12:09,2017-12-22,11:12:09,81.1675,228.25,0.7925,420,1.21538461538,0,0,1
2017-12-22 11:12:40,2017-12-22,11:12:40,81.2875,230.5,0.29500000000000004,425,1.17307692308,0,0,1
2017-12-22 11:13:10,2017-12-22,11:13:10,81.2875,232.75,1.7325,430,1.2,0,0,1
2017-12-22 11:14:12,2017-12-22,11:14:12,81.3475,232.5,0.28500000000000003,435,1.26923076923,0,0,1
2017-12-22 11:14:42,2017-12-22,11:14:42,81.33,231.5,0.21500000000000002,425,1.21923076923,0,0,1
2017-12-22 11:15:13,2017-12-22,11:15:13,81.3625,228.25,0.41500000000000004,425,1.15,0,0,1
2017-12-22 11:15:43,2017-12-22,11:15:43,81.3475,228.25,0.20750000000000002,420,1.06538461538,0,0,1
2017-12-22 11:16:45,2017-12-22,11:16:45,81.3475,229.25,0.5075,420,0.965384615385,0,0,1
2017-12-22 11:17:46,2017-12-22,11:17:46,81.3625,229.25,0.30500000000000005,435,0.953846153846,0,0,1
2017-12-22 11:18:17,2017-12-22,11:18:17,81.4075,228.25,0.935,430,0.842307692308,0,0,1
2017-12-22 11:18:47,2017-12-22,11:18:47,81.3475,229.25,1.2049999999999998,445,0.946153846154,0,0,1
2017-12-22 11:19:18,2017-12-22,11:19:18,81.33,228.25,0.2475,440,0.976923076923,0,0,1
2017-12-22 11:19:49,2017-12-22,11:19:49,81.4675,228.25,0.4875,440,0.934615384615,0,0,1
2017-12-22 11:20:19,2017-12-22,11:20:19,81.4225,232.75,0.96,435,0.869230769231,0,0,1
2017-12-22 11:21:20,2017-12-22,11:21:20,81.4675,232.5,1.065,435,0.688461538462,0,0,1
2017-12-22 11:22:22,2017-12-22,11:22:22,81.5425,229.5,0.8574999999999999,445,0.830769230769,0,0,1
2017-12-22 11:22:52,2017-12-22,11:22:52,81.5275,229.25,0.555,445,0.926923076923,0,0,1
2017-12-22 11:23:23,2017-12-22,11:23:23,81.5275,231.25,0.6375000000000001,445,0.957692307692,0,0,1
2017-12-22 11:23:54,2017-12-22,11:23:54,81.5425,230.25,0.335,445,0.969230769231,0,0,1
2017-12-22 11:24:24,2017-12-22,11:24:24,81.5575,231.5,0.4775,440,0.915384615385,0,0,1
